COMPANIES,POSITION,STATUS,DATE
IBM,software Devops Architect,applied,09-11-2024
IBM,Devops SRE,applied,09-11-2024
Philips,DevSecops,applied,09-12-2024
Oracle,Devops engineer,applied,09-12-2024
Qcentrio,Devops Engineer-Google cloud platform,applied,09-12-2024
S&P Global market Intelligence,Lead Devops Engineer,applied,09-12-2024
Nitor,Gcp devops Engineer,applied,09-12-2024
Broadridge,Devops,Received the call,9/13/2024
Aveva,Senior Devops Engineer,applied,9/13/2024
Infineon,Lead Devops Engineer,applied,9/13/2024
S & P Global market Intelligence,enior cloud Devops Engineer,applied,9/16/2024
Infogain,GCP devops Engineer,applied,9/16/2024
Solix Technologies,cloud lead,applied,9/16/2024
Qburst,Azure devops-lead/sr engineer,applied,9/16/2024
itc,,forwarded to client,
Broadridge,devops,forwarded to client,
photon,devops,forwarded to client,
Axis bank,mlops,we should get back,
uniphore software ayatems,senior software reliability engineer,applied,
Rakuten,Devops engineer,applied,
Qoala,Devops engineer,applied,
Inconn,security devops,applied,
oracle,Senior Devops Engineer,applied,
Vaylor Paytech India,senior devops lead,applied,
volvo group,Devops Engineer,applied,
Bottomline technologies,Senior Devops Engineer,applied,
Razorpay,Azure devops-lead/sr engineer,,
